"Ich habe schon mal heimlich im Handy meines Partners* spioniert.",
"",
"",
"",
"Ich habe aktuell mehr als 10.000 € auf dem Girokonto.",
"",
"",
"",
"",
"",
"Mein rechter Nachbar* könnte deutlich mehr aus sich machen.",
"",
"",
"",
"",
"",
"Ich möchte meinem Partner* beim Masturbieren zusehen.",
"Ich habe mal etwas in einer fremden Wohnung kaputt gemacht und nichts gesagt.",
"",
"Ich bin intelligenter als mein rechter Nachbar*.",
"",
"",
"Es gibt eine Person (nicht mein Partner*), die in mich verliebt ist."
